original,0
He was offered a Fulbright scholarship in 1965 to study in the United States.,in 1965 the US offered him a Fullbright scholarship.
The clinic was very modern and remained in the control of the Binswanger family for nearly 120 years.,The clinic was up to date and controlled by the Binswanger family for nearly 120 years.
"The show expanded from a half-hour in length to one hour starting on December 1, 1975.","The show went from 30 minutes to one hour on December 1, 1975."
"Through a business connection, he was introduced to Mary Parent with Universal Pictures, who immediately signed on after watching the episodes on DVD.","He was introduced to Mary Parent with Universal Pictures, who immediately signed on after watching the episodes on DVD."
"After gathering a list of names from fans and conducting an online poll, the feature was named ECW X-Stream on October 31, 2007.","After gathering names from fans and holding an online poll, the feature was named ECW X-Stream on October 31, 2007."
"Brusque is a city of 94,962 inhabitants in Santa Catarina, Brazil.","Brusque has 94,962 inhabitants in Santa Catarina, Brazil."
"The medal was first awarded in 1902 to J. J. Thomson ""for his numerous contributions to electric science, especially in reference to the phenomena of electric discharge in gases"", and has since been awarded 105 times.","The medal was first awarded in 1902 to J. J. Thomson ""for his numerous contributions to electric science, especially in reference to the phenomena of electric discharge in gases"". It has since been awarded 105 times."
The satellite has been given the provisional designation S / 2003 (130) 1.,The satellite were named - S / 2003 (130) 1.
He was one of the most influential madrigalist in the middle of the 16th century.,He was the most influential madrigalist in 16th century.
Tzu Chi was the first force from outside the People's Republic of China to join the rescue effort.,Tzu Chi was the first to join the rescue effort outside of People's Republic of China.
"The eared seals or otariids are marine mammals in the family Otariidae, one of three groupings of Pinnipeds.","The eared seals or otariids are mammals that live in the water. They are part of the family Otariidae, one of three groupings of Pinnipeds."
"It consists of the red cross of Saint George (patron saint of England), edged in white, superimposed on the Cross of St Patrick (patron saint of Ireland), which are superimposed on the Saltire of Saint Andrew (patron saint of Scotland).","It consists of the red cross of Saint George, edged in white, on top of the Cross of St Patrick, which is on top of the Saltire of Saint Andrew."
"With the help of an albatross named Orville, the mice fly to the Bayou, and meet a dragonfly named Evinrude, who speeds them in a leaf to the ship where Penny is held.","With the help of an albatross named Orville, the mice fly to the Bayou, and meet a dragonfly named Evinrude.  Evinrude takes them to the ship where Penny is held."
"Her follow-up single ""Girlfriend"" also debuted at number one and her first album, Honey to the B (released immediately afterwards) debuted at Number 14 in the UK album charts.","Her follow-up single ""Girlfriend"" also debuted at number one.  Her first album, Honey to the B, debuted at Number 14 in the UK album charts"
Guangxi (or Guangxi Zhuang Autonomous Region;) is a Zhuang autonomous region of the People's Republic of China.,Guangxi is a Zhuang autonomous part of the People's Republic of China.
"Functions may variously include sensing touch, air motion, heat, vibration (sound), and especially olfaction (smell) or gustation (taste).","Functions may variously include sensing touch, air motion, heat, vibration, and especially smell or taste."
"The Sutlej River (alternatively spelled as Satluj River) (,,,, and) is the longest of the five rivers that flow through the historic crossroad region of Punjab in northern India and Pakistan.",The Sutlej River is the longest of the five rivers that flow through the historic crossroad region of Punjab in northern India and Pakistan.
She later attended the Fiorello H. LaGuardia High School of Music & Art and Performing Arts (the high school featured in the movie Fame) before she entered the theater program at Juilliard.,She later attended the Fiorello H. LaGuardia High School of Music & Art and Performing Arts before she entered the theater program at Juilliard.
"Some grow to be institutions as large as major hospitals, whilst retaining the name clinic.",Some grow to be large institutions and keep the name clinic.
"Secondly, it should be computationally infeasible to generate a valid signature for a party who does not possess the private key.",It should be computationally infeasible to generate a valid signature for a party who does not possess the private key.
The Mulde River runs through the easternmost part of the district.,The Mulde River runs through the easternmost part of the area.
